SQLDATE,EventCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,AvgTone
20240829,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.40740740740741
20240828,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.739336492891
20240827,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.64317180616741
20240827,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.02341421881652
20240827,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.59219088937093
20240826,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.63384360777824
20240826,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.63384360777824
20240826,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.13483146067416
20240824,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.40987957067942
20240824,145,"Chicago, Illinois, United States",41.85,-87.6501,2.36768802228412
20240824,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.10897986927325
20240824,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.69500614328201
20240824,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.10897986927325
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.9475925969838
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.57738806961605
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.95530726256983
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.92234406699377
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.3986013986014
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.57738806961605
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.97258146119812
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.95530726256983
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.03830911492734
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.48662041625372
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.97350993377484
20240823,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.01022992777117
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.21422717979454
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.6774193548387
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.17307692307692
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.31750074917591
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.67604641565896
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.11940298507463
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.97833806818182
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.81531531531531
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.88636363636364
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,0.0
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.23996803373461
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.08330762110459
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.0197461212976
20240822,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.35771561280044
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.36842105263158
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.88679245283019
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.56410256410257
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.95097490517258
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.01639344262295
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.52380952380952
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.03886341812064
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.71958210971994
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.22784017480049
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.72303595206391
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.76225047564285
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.44827586206897
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.44827586206897
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.91944815852368
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.48246546227417
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.64359861591695
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.1453634085213
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.66637717183519
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.7674522695038
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.85431183024591
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.48987854251013
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.88679245283019
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.47480165159274
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.89908256880732
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.01639344262295
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.5
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.40608034744843
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.82395382395382
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.51823738885968
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.47413793103448
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.55866152874839
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.43776824034334
20240821,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.56410256410257
